start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,community,edit community,suburb,recode reason,gps lookup,notes,recode,community_clean,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
Public Rack - Kimball Ave & Carmen Ave,86,3,0,2023/03/27,2024/01/30,41.97,-87.71347487,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Kimball Ave & Lawrence Ave,60,1,0,2023/05/04,2024/01/08,41.96767133,-87.71351317,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Lawrence Ave & Kimball Ave,33,0,0,2023/05/04,2023/11/03,41.96810496,-87.71307617,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Monticello & Lawrence,33,0,0,2023/05/11,2023/12/07,41.96817533,-87.72,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Sawyer Ave & Lawrence Ave,64,1,0,2023/03/07,2024/01/04,41.9682235,-87.71,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Springfield Ave & Lawrence Ave,52,4,0,2023/05/10,2024/01/24,41.968161,-87.73,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Broadway & Waveland Ave,21967,608,11,2023/02/01,2024/01/31,41.8023541,-87.73060977,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Calumet Ave & 33rd St,12716,482,10,2023/02/01,2024/01/31,41.7998048,-87.73564613,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Greenwood Ave & 47th St,2673,105,2,2023/02/01,2024/01/31,41.80455232,-87.73564613,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Indiana Ave & 31st St,5370,145,6,2023/02/01,2024/01/31,41.80455232,-87.73564613,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Kenneth Ave & 50th St,105,0,0,2023/02/12,2023/12/21,41.8,-87.73445618,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Kildare Ave & 47th St,206,3,1,2023/02/18,2024/01/16,41.80756033,-87.73105836,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Public Rack - Harding Ave & 47th St,13,0,0,2023/02/11,2023/12/08,41.80771875,-87.72297311,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Public Rack - Kolin Ave & Archer Ave,8,0,0,2023/04/04,2023/10/05,41.8,-87.73217033,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Public Rack - Pulaski Rd & 41st,5,0,0,2023/03/02,2023/09/16,41.81781077,-87.7241355,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Public Rack - Pulaski Rd & 44th St,88,2,0,2023/02/01,2024/01/11,41.81,-87.72274208,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Public Rack - Pulaski Rd & 51st Rd,11,1,0,2023/03/16,2024/01/30,41.8,-87.72397683,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Pulaski & Ann Lurie Pl,142,9,0,2023/02/10,2024/01/28,41.81631541,-87.72490633,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Pulaski Rd & 51st St,678,36,0,2023/02/08,2024/01/30,41.8,-87.72497594,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
Springfield Ave & 47th St,105,5,0,2023/02/12,2024/01/30,41.80786371,-87.72142088,ARCHER HEIGHTS,,,,,,,ARCHER HEIGHTS,0,55922505.72,0,57,57,0,0,31880.02103
MLK Jr Dr & Pershing Rd,1552,39,0,2023/02/01,2024/01/31,41.82437813,-87.63183665,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Normal Ave & Archer Ave,1277,81,4,2023/02/02,2024/01/31,41.84942617,-87.64070904,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Ping Tom Park (East),530,12,0,2023/05/26,2024/01/31,41.8576455,-87.63209713,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wells St & 19th St,2006,15,0,2023/02/01,2024/01/31,41.856659,-87.63405917,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wentworth Ave & 24th St,1643,35,1,2023/04/19,2024/01/31,41.84975886,-87.63254428,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wentworth Ave & 24th St (Temp),282,0,0,2023/02/01,2023/04/19,41.84989817,-87.63235033,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wentworth Ave & 33rd St,3832,112,2,2023/02/01,2024/01/31,41.83432603,-87.63299894,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wentworth Ave & 35th St,2508,58,0,2023/02/01,2024/01/31,41.83029938,-87.63282907,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Wentworth Ave & Cermak Rd*,3885,64,3,2023/04/12,2024/01/31,41.85266376,-87.63381717,ARMOUR SQUARE,,,,,,,ARMOUR SQUARE,0,27766196.1,0,34,34,0,0,31948.59884
Columbus Ave & 79th St,9,4,0,2023/11/17,2024/01/30,41.74908304,-87.70434058,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Columbus Ave & 83rd Pl,2,2,0,2024/01/03,2024/01/07,41.741346,-87.713696,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Dan Ryan Woods & 83rd St,1,1,0,2024/01/07,2024/01/07,41.742805,-87.680177,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Kedzie Ave & 83rd St,5,1,0,2023/11/08,2024/01/07,41.742523,-87.70258164,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Kildare Ave & 85th St,1,0,0,2023/12/27,2023/12/27,41.738463,-87.728572,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Mozart St & 79th St,2,0,0,2023/11/10,2023/11/22,41.74960041,-87.69395053,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - 82nd st & Kedzie Ave,16,0,0,2023/05/14,2023/11/10,41.74,-87.70239,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - 83rd Pl & Kedzie Ave N,4,0,0,2023/05/20,2023/08/30,41.74,-87.70235658,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - 85th Pl & Pulaski Rd,2,0,0,2023/08/15,2023/09/16,41.73737836,-87.72144055,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Ashburn Metra,1,0,0,2023/09/02,2023/09/02,41.74121809,-87.71312726,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - California & 82nd,2,0,0,2023/05/07,2023/05/23,41.74492517,-87.69257167,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - California & 87th,7,0,0,2023/05/08,2023/12/20,41.73566747,-87.69221883,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Columbus & 79th,40,0,0,2023/05/04,2023/09/26,41.7491975,-87.70441234,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Homan & 77th,4,0,0,2023/05/27,2023/09/18,41.75346148,-87.70710456,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Homan & 79th,21,0,0,2023/05/07,2023/11/08,41.74981248,-87.71,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Kedzie Ave & 83rd St,13,0,0,2023/05/20,2023/12/20,41.74,-87.70236957,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Kostner & 83rd,16,0,0,2023/05/21,2023/10/01,41.74,-87.73160732,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Mozart & 79th,2,0,0,2023/05/20,2023/05/20,41.75,-87.69,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Oakley & 79th Pl,1,0,0,2023/05/22,2023/05/22,41.74927,-87.67935033,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Pulaski & 84th,3,0,0,2023/05/11,2023/11/13,41.739416,-87.7213535,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Pulaski Rd & 83rd St,16,0,0,2023/05/06,2023/10/08,41.74,-87.72188807,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Pulaski Rd & 85th St,2,0,0,2023/07/31,2023/08/07,41.73803282,-87.72165418,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - S. Kilpatrick and W. 79th,20,0,0,2023/05/11,2023/11/12,41.74928677,-87.74,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Springfield & 71st,10,0,0,2023/05/19,2023/09/18,41.76,-87.72045159,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Springfield & 79th,15,0,0,2023/06/01,2023/11/19,41.74953544,-87.72126833,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - St Louis & 83rd,2,0,0,2023/05/10,2023/05/23,41.74,-87.71,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - St Louis & Columbus,6,0,0,2023/06/12,2023/10/08,41.745262,-87.70919,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Western & 79th,36,0,0,2023/05/10,2023/11/04,41.75,-87.68274379,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Western & 83rd,30,2,0,2023/05/07,2024/01/27,41.74,-87.68299162,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Western Ave & 79th St,7,0,0,2023/04/15,2023/11/05,41.749829,-87.683092,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Public Rack - Wrightwood Metra Station,1,0,0,2023/07/03,2023/07/03,41.74888617,-87.703701,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Pulaski Rd & 84th St,1,1,0,2024/01/04,2024/01/04,41.7403645,-87.7219565,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Scottsdale Park,8,6,0,2023/12/03,2024/01/13,41.74193037,-87.736179,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Springfield Ave & 80th St,1,0,0,2023/12/21,2023/12/21,41.74763,-87.71945,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Summit Ave & 86th St,87,11,0,2023/02/02,2024/01/31,41.73780096,-87.6800593,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Western Ave & 79th St,5,5,1,2024/01/01,2024/01/16,41.7508148,-87.682701,ASHBURN,,,,,,,ASHBURN,0,135460337.2,0,70,70,0,0,54818.15463
Ashland Ave & 78th St,107,5,1,2023/02/27,2024/01/28,41.75215912,-87.66397678,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Damen Ave & 81st St,13,4,0,2023/11/09,2024/01/30,41.7463485,-87.67320406,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Damen Ave & 87th St,5,2,0,2023/11/15,2024/01/07,41.7359975,-87.67298269,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Halsted St & 78th St,135,2,0,2023/02/15,2024/01/08,41.75242674,-87.64390216,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Loomis Blvd & 84th St,120,2,0,2023/02/18,2024/01/08,41.74148653,-87.65847313,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Loomis St & 89th St,67,0,0,2023/02/02,2023/12/23,41.73237975,-87.65812,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Paulina Ave & 87th St,9,0,0,2023/10/26,2023/12/12,41.7354895,-87.665663,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Aida Food Market,4,0,0,2023/04/29,2023/09/23,41.74976003,-87.64415729,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Ashland Ave & 76th St,13,0,0,2023/02/02,2023/07/26,41.755841,-87.6639465,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Ashland Ave & 83rd St,10,0,0,2023/05/11,2023/09/25,41.74,-87.66371429,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Damen & 81st,15,0,0,2023/05/02,2023/11/20,41.74634337,-87.67315674,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Damen & 87th,6,0,0,2023/05/16,2023/12/23,41.73583722,-87.672704,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Damen Ave & 80th St,2,0,0,2023/02/07,2023/05/21,41.75,-87.67,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Damen Ave & 84th St,2,0,0,2023/07/09,2023/09/12,41.7402605,-87.67299771,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Halsted St & 76th St,20,0,0,2023/03/07,2023/12/11,41.75584467,-87.64415193,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Halsted St & 80th St,2,0,0,2023/02/14,2023/09/19,41.74797118,-87.64391804,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Hermitage & 83rd St,7,0,0,2023/05/04,2023/05/21,41.74,-87.67,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Honore St & 87th St,1,0,0,2023/09/12,2023/09/12,41.73592794,-87.66918719,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Honore St & 87th St - SE,2,0,0,2023/05/21,2023/05/21,41.73551929,-87.66906273,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Horner & 85th,3,0,0,2023/05/18,2023/09/12,41.7393384,-87.67,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Justine St & 87th St,8,0,0,2023/04/04,2023/09/12,41.73591399,-87.66280717,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Laflin St & 79th St,3,0,0,2023/04/16,2023/06/30,41.75,-87.66199467,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Loomis Blvd & 83rd St,3,0,0,2023/06/07,2023/09/06,41.743022,-87.658887,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Loomis St & 87th St,54,0,0,2023/02/03,2023/09/06,41.73562527,-87.66,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Marshfield Ave & 87th St,27,0,0,2023/04/11,2023/09/22,41.73560217,-87.66397107,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - May St & 78th St,2,0,0,2023/08/15,2023/09/12,41.7523731,-87.65313317,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Morgan St & 87th St,1,0,0,2023/05/22,2023/05/22,41.73594717,-87.64809083,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Racine Ave & 76th,2,0,0,2023/05/12,2023/09/12,41.75585914,-87.654006,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Racine Ave & 83rd St,1,0,0,2023/09/12,2023/09/12,41.74332142,-87.65363658,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Vincennes Ave & 87th St,1,0,0,2023/09/09,2023/09/09,41.7356714,-87.64533162,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Public Rack - Winchester Ave & 87th St,11,0,0,2023/05/17,2023/07/13,41.73576653,-87.67213404,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Wood St & 84th St,1,0,0,2023/11/30,2023/11/30,41.74117303,-87.66842723,AUBURN GRESHAM,,,,,,,AUBURN GRESHAM,0,105065353.6,0,71,71,0,0,46757.72172
Augusta Blvd & Laramie Ave,43,0,0,2023/05/17,2023/12/16,41.89854333,-87.76,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Austin Blvd & Chicago Ave,174,1,0,2023/02/12,2024/01/28,41.89479367,-87.774704,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Austin Blvd & Lake St,425,3,0,2023/02/05,2024/01/28,41.88777244,-87.77459407,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Austin Blvd & Madison St,340,2,0,2023/02/07,2024/01/28,41.880216,-87.77457655,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Broadway & Wilson Ave,11779,327,7,2023/02/01,2024/01/31,41.88958382,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Carpenter St & Huron St,11381,271,4,2023/02/01,2024/01/31,41.88360166,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Central Ave & Chicago Ave,303,8,0,2023/02/04,2024/01/30,41.89484012,-87.76500583,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Central Ave & Harrison St,105,1,0,2023/02/06,2024/01/08,41.8729235,-87.7645525,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Central Ave & Lake St,189,2,0,2023/02/02,2024/01/31,41.88758283,-87.7655462,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Central Ave & Madison St,139,1,0,2023/02/18,2024/01/28,41.880074,-87.76329672,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Cicero Ave & Flournoy St,105,2,0,2023/02/13,2024/01/18,41.87204897,-87.74677587,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Cicero Ave & Lake St,195,11,0,2023/02/02,2024/01/30,41.88651919,-87.74568522,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Cicero Ave & Quincy St,111,7,0,2023/02/13,2024/01/30,41.87756967,-87.74550617,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Clark St & Berwyn Ave,12280,272,5,2023/02/01,2024/01/31,41.88416982,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Clark St & Grace St,13417,243,5,2023/02/01,2024/01/31,41.87371633,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Clark St & Leland Ave,10221,293,14,2023/02/01,2024/01/31,41.89004017,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Clinton St & Madison St,26894,1323,28,2023/02/01,2024/01/31,41.87108417,-87.74686418,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Franklin St & Jackson Blvd,16523,519,9,2023/02/01,2024/01/31,41.8718035,-87.7510985,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Halsted St & Fulton St,15701,559,7,2023/03/16,2024/01/31,41.870526,-87.74686418,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Kedzie Ave & Milwaukee Ave,12977,279,4,2023/02/01,2024/01/31,41.86936688,-87.76630317,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Kenton Ave & Madison St,158,4,0,2023/02/02,2024/01/26,41.880652,-87.74112308,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Kilpatrick Ave & Grand Ave,202,3,0,2023/02/08,2024/01/30,41.91,-87.7439145,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Lamon Ave & Chicago Ave,85,2,0,2023/02/17,2024/01/25,41.89515217,-87.75,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Laramie Ave & Gladys Ave,44,1,0,2023/02/18,2024/01/10,41.87577009,-87.75540209,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Laramie Ave & Kinzie St,128,3,0,2023/02/03,2024/01/30,41.88778467,-87.75573483,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Laramie Ave & Madison St,191,3,0,2023/02/08,2024/01/24,41.88014257,-87.75593209,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Latrobe Ave & Chicago Ave,120,3,0,2023/02/16,2024/01/08,41.894646,-87.75696833,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Lavergne Ave & Division St,24,0,0,2023/04/03,2023/12/04,41.9,-87.75103983,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Leamington Ave & Hirsch St,61,0,0,2023/02/12,2023/12/26,41.90578628,-87.754975,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Lincoln Ave & Diversey Pkwy,13940,285,2,2023/02/01,2024/01/31,41.88360166,-87.75756263,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Lincoln Ave & Sunnyside Ave,6128,132,1,2023/02/01,2024/01/31,41.87799155,-87.74485883,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
Long Ave & North Ave,56,2,0,2023/03/11,2024/01/03,41.90909233,-87.76105511,AUSTIN,,,,,,,AUSTIN,0,199254203.4,0,25,25,0,0,75226.47492
