"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT06","WT08","WT09"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-18","6.49",,"0.06","0.8","3.9","20","28","12","  340","  340","16.1","21.9","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-19","14.09",,"0.04","1.1","5.1","12","14","5","  320","  320","19.9","27.1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-20","9.84",,"0.00","0.0","3.9","10","18","4","  310","  320","15.0","21.0",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-21","9.84",,"0.00","0.0","3.9","9","21","1","  190","  200","19.9","27.1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-22","11.41",,"0.03","0.0","3.9","25","34","21","  220","  200","21.0","31.1","    1",,"    1","    1","    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-23","3.80",,"0.36","0.0","3.9","34","37","33","  100","   20","8.9","14.1","    1",,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-24","5.82",,"0.18","0.0","3.1","35","38","34","   40","   10","12.1","19.9","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-25","8.95",,"0.28","0.0","1.2","36","38","35","   20","   40","16.1","25.9","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-26","5.82"," 0304","0.38","0.0","0.0","38","40","37","   20","   30","16.1","21.0","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-27","7.61",,"0.01","0.0","0.0","38","41","36","   30","   10","17.0","23.9","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-28","11.41",,"0.04","0.0","0.0","37","39","33","  360","  360","21.0","25.9","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-29","10.96",,"0.00","0.0","0.0","34","39","30","  210","  190","19.9","28.0","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-30","9.62",,"0.00","0.0","0.0","38","41","37","  210","  210","17.0","25.1","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-31","10.07",,"0.00","0.0","0.0","37","38","36","  240","  250","19.9","28.0",,,,,,,
