start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng
Public Rack - Ozark Ave & Addison St,7,0,0,2023-06-10,2023-09-16,41.9451275,-87.82029316666667
Public Rack - Ozman & Talcott,10,0,0,2023-05-28,2023-11-18,41.99300683333333,-87.821662664
Public Rack - Panama Ave & Forest Preserve Ave,6,0,0,2023-05-10,2023-07-09,41.94,-87.83
Public Rack - Parkside & 63rd,13,0,0,2023-05-16,2023-11-20,41.777854681,-87.763303399
Public Rack - Parkside & Archer,80,1,0,2023-05-12,2024-01-02,41.795572162,-87.763603091
Public Rack - Parkside & Elston,10,0,0,2023-06-22,2023-10-08,41.98567483333333,-87.769850254
Public Rack - Parnell Ave & 98th St,2,0,0,2023-05-11,2023-07-21,41.71621183333333,-87.64
Public Rack - Paul Revere Elementary School,3,0,0,2023-06-11,2023-09-10,41.764461833333336,-87.600485802
Public Rack - Paxton Ave & 79th St,3,0,0,2023-10-16,2023-11-08,41.751717806,-87.570701122
Public Rack - Penn Elementary School / KIPP Ascend Middle School,5,2,0,2023-06-10,2024-01-30,41.858658552,-87.722386956
Public Rack - Peoria St & 60th St,6,1,0,2023-02-08,2024-01-08,41.78455816666666,-87.65
Public Rack - Percy Julian HS,1,0,0,2023-02-19,2023-02-19,41.71,-87.65
Public Rack - Perry Ave & 108th Pl,2,0,0,2023-07-11,2023-07-11,41.697057009,-87.62575984
Public Rack - Perry Ave & 111th St,3,0,0,2023-11-13,2023-12-02,41.692759037,-87.626704335
Public Rack - Peterson Ave & Bernard Ave,8,0,0,2023-07-28,2023-10-01,41.990198166666666,-87.7156505
Public Rack - Peterson Ave & Drake Ave,5,0,0,2023-07-30,2023-10-21,41.99006683333333,-87.7176285
Public Rack - Peterson Ave & Milwaukee Ave,15,0,0,2023-05-20,2023-10-20,41.989546537,-87.781162858
Public Rack - Peterson Park,18,0,0,2023-06-26,2023-12-26,41.978625894,-87.755630612
Public Rack - Piotrowski Park,7,0,0,2023-02-17,2023-09-16,41.83666916666667,-87.73090166666667
Public Rack - Pittsburgh Ave & Irving Park,5,0,0,2023-02-13,2023-07-30,41.95,-87.832994
Public Rack - Prairie Ave & 47th St ,70,0,0,2023-02-09,2023-12-13,41.80921283333333,-87.62
Public Rack - Prairie Ave & 78th St,2,0,0,2023-12-05,2023-12-17,41.751953244,-87.618189573
Public Rack - Prairie Ave & 85th St,4,0,0,2023-06-10,2023-12-27,41.740170166666665,-87.617741
Public Rack - Prairie Ave & Garfield Blvd N,20,0,0,2023-04-28,2023-12-13,41.79,-87.62
Public Rack - Prairie Ave & Garfield Blvd S,95,4,0,2023-04-11,2024-01-29,41.79,-87.62
Public Rack - Pratt Ave & Odell Ave,7,0,0,2023-08-15,2023-12-02,42.004326344,-87.811022997
Public Rack - Princeton Ave & 43rd St,4,0,0,2023-02-28,2023-07-25,41.8159545,-87.63369316666666
Public Rack - Princeton Ave & 99th Pl,1,0,0,2023-12-04,2023-12-04,41.713513,-87.6309755
Public Rack - Pulaski & 52nd,17,1,0,2023-02-08,2024-01-21,41.797003269,-87.72347933333333
Public Rack - Pulaski & 74th,12,0,0,2023-05-08,2023-11-25,41.757259965,-87.72246716666666
Public Rack - Pulaski & 84th,3,0,0,2023-05-11,2023-11-13,41.739416,-87.7213535
Public Rack - Pulaski & Ardmore,10,0,0,2023-06-08,2023-12-05,41.985590696,-87.72863516666666
Public Rack - Pulaski & Rosemont,70,3,0,2023-05-30,2024-01-08,41.99501083333333,-87.72903116666667
Public Rack - Pulaski Rd & 15th St,3,0,0,2023-04-29,2023-06-29,41.86,-87.73
Public Rack - Pulaski Rd & 41st,5,0,0,2023-03-02,2023-09-16,41.817810774,-87.7241355
Public Rack - Pulaski Rd & 44th St,88,2,0,2023-02-01,2024-01-11,41.81,-87.722742081
Public Rack - Pulaski Rd & 51st Rd,11,1,0,2023-03-16,2024-01-30,41.8,-87.72397683333334
Public Rack - Pulaski Rd & 65th St,21,3,0,2023-02-13,2024-01-28,41.77,-87.72292883333333
Public Rack - Pulaski Rd & 83rd St,16,0,0,2023-05-06,2023-10-08,41.74,-87.721888065
Public Rack - Pulaski Rd & 85th St,2,0,0,2023-07-31,2023-08-07,41.738032818,-87.721654177
Public Rack - Pulaski Rd & Armitage Ave,384,13,0,2023-02-01,2024-01-31,41.916737676,-87.73
Public Rack - Pulaski Rd & Flournoy St,1,0,0,2023-07-05,2023-07-05,41.872493148,-87.724954009
Public Rack - Pulaski Rd & Fullerton Ave,56,1,0,2023-03-08,2024-01-24,41.92,-87.73
Public Rack - Pulaski Rd & Grenshaw St,1,0,0,2023-10-15,2023-10-15,41.867038965,-87.725434542
Public Rack - Pulaski Rd & Lake St,11,0,0,2023-05-29,2023-11-24,41.885304833333336,-87.72612466666666
Public Rack - Pulaski Rd & Roosevelt Rd,3,0,0,2023-06-04,2023-12-21,41.866070666666666,-87.72414316666666
Public Rack - Pulaski Rd & Stevens Ave,17,1,0,2023-06-12,2024-01-28,41.991052333333336,-87.72948783333334
Public Rack - Pullman - Planet Fitness,7,1,0,2023-03-15,2024-01-02,41.69753333333333,-87.6
Public Rack - Pullman - Ross Dress for Less,3,0,0,2023-04-23,2023-06-15,41.698712707,-87.6
Public Rack - Pullman - Walmart,13,0,0,2023-04-11,2023-06-22,41.696949005,-87.6
Public Rack - Pullman Community Center,4,0,0,2023-04-23,2023-11-14,41.7,-87.593444467
Public Rack - Racine Ave & 109th Pl,335,23,0,2023-02-01,2024-01-31,41.69,-87.65287506600001
Public Rack - Racine Ave & 74th St,26,0,0,2023-05-09,2023-12-20,41.75937183333333,-87.65414166666666
Public Rack - Racine Ave & 76th,2,0,0,2023-05-12,2023-09-12,41.755859137,-87.654006004
Public Rack - Racine Ave & 83rd St,1,0,0,2023-09-12,2023-09-12,41.743321419,-87.653636575
Public Rack - Rhodes Ave & 79th St,1,0,0,2023-12-13,2023-12-13,41.750923395,-87.611402988
Public Rack - Richard Daley College,17,0,0,2023-08-02,2023-10-28,41.754680157,-87.723692656
Public Rack - Robert Fulton Elementary School,6,1,0,2023-03-27,2024-01-05,41.79738916666667,-87.67
Public Rack - Rockwell & 111th St,29,0,0,2023-02-15,2023-10-07,41.69,-87.69
Public Rack - Rockwell & Division,215,2,0,2023-02-14,2024-01-03,41.9,-87.69284761
Public Rack - Rockwell Ave & 71st St,6,0,0,2023-05-02,2023-08-23,41.76,-87.69
Public Rack - Rockwell Ave & Touhy Ave ,89,1,0,2023-02-18,2024-01-29,42.01,-87.7
Public Rack - Roscoe St & Osceola Ave,6,0,0,2023-05-20,2023-07-17,41.94,-87.813377976
Public Rack - Rutherford & 53rd,5,0,0,2023-05-20,2023-08-08,41.795018,-87.790559
Public Rack - Rutherford Ave & Belmont Ave,12,0,0,2023-02-09,2023-10-27,41.9380135,-87.7939924
Public Rack - S Menard & W 63rd,40,0,0,2023-05-03,2023-09-28,41.77701056,-87.77
Public Rack - S. Kilpatrick and W. 79th,20,0,0,2023-05-11,2023-11-12,41.749286771,-87.74
Public Rack - S. New England/ W. 65th,42,0,0,2023-05-15,2023-08-01,41.77,-87.793563008
Public Rack - Sacramento & 71st,8,0,0,2023-05-28,2023-07-30,41.764359117,-87.698053718
Public Rack - Sacramento Ave & Devon Ave,74,2,0,2023-02-05,2024-01-23,41.997308833333335,-87.7047325
Public Rack - Sacramento Blvd & Division St,1,0,0,2023-05-05,2023-05-05,41.91,-87.7
Public Rack - Sacramento Blvd & Washington Blvd,2,0,0,2023-09-20,2023-10-23,41.88292833333333,-87.69993433333333
Public Rack - Saginaw Ave & 93rd St,5,0,0,2023-02-24,2023-10-12,41.7262795,-87.56
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,13,0,0,2023-02-07,2023-10-23,41.98,-87.71
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,13,0,0,2023-04-14,2023-12-15,41.98,-87.71094716666667
Public Rack - Sawyer Ave & Chicago Ave,30,0,0,2023-06-25,2023-11-03,41.895393,-87.70835316666667
Public Rack - Sawyer Ave & Lawrence Ave,64,1,0,2023-03-07,2024-01-04,41.9682235,-87.71
Public Rack - Sayer & Northwest Hwy,32,1,0,2023-05-05,2024-01-06,41.99,-87.80281651
Public Rack - Sayre Ave & 59th St,24,0,0,2023-05-18,2023-09-13,41.78,-87.8
"Public Rack - Senka ""Edward Duke"" Park",3,0,0,2023-04-13,2023-09-08,41.79,-87.71094501
Public Rack - South Shore Dr & 71st St,30,0,0,2023-02-24,2023-12-31,41.766065,-87.56281433333334
Public Rack - South Shore High School,1,0,0,2023-06-09,2023-06-09,41.7561805,-87.579701
Public Rack - Spaulding Ave & 71st St,4,0,0,2023-07-07,2023-11-29,41.764338493,-87.70637846
Public Rack - Spaulding Ave & Bryn Mawr Ave,26,1,0,2023-04-13,2024-01-10,41.98,-87.711586
Public Rack - Spaulding Ave & Evergreen Ave,227,8,0,2023-02-12,2024-01-27,41.9053975,-87.71
Public Rack - Spaulding Ave & Foster Ave,22,0,0,2023-02-14,2023-10-03,41.975670457,-87.710747838
Public Rack - Spaulding Ave & North Ave,194,2,0,2023-02-07,2024-01-28,41.90983533333333,-87.710022
Public Rack - Springfield & 71st,10,0,0,2023-05-19,2023-09-18,41.76,-87.720451593
Public Rack - Springfield & 79th,15,0,0,2023-06-01,2023-11-19,41.749535441,-87.72126833333333
Public Rack - Springfield Ave & 63rd St,3,0,0,2023-06-02,2023-10-01,41.778634833333335,-87.71938066666667
Public Rack - Springfield Ave & Lawrence Ave,52,4,0,2023-05-10,2024-01-24,41.968161,-87.73
Public Rack - St Louis & 83rd,2,0,0,2023-05-10,2023-05-23,41.74,-87.71
Public Rack - St Louis & Columbus,6,0,0,2023-06-12,2023-10-08,41.745262,-87.70919
Public Rack - St Louis & Lincoln,24,1,0,2023-05-15,2024-01-04,41.995418787,-87.72
Public Rack - St Louis Ave & Berteau Ave,42,1,0,2023-02-10,2024-01-05,41.95822483333333,-87.72
Public Rack - St Louis Ave & Flournoy St,1,0,0,2023-04-15,2023-04-15,41.87,-87.71
Public Rack - State ST & 42nd St,52,1,0,2023-02-10,2024-01-12,41.8187485,-87.63
Public Rack - State St & 47th st,10,0,0,2023-05-25,2023-12-31,41.808781624,-87.627782464
Public Rack - Stewart Ave & 123rd St,63,0,0,2023-02-08,2023-12-23,41.67,-87.632296562
Public Rack - Stony Is Ave & 73rd St,2,0,0,2023-07-06,2023-11-23,41.762321472,-87.585572004
Public Rack - Stony Island & 87th St,2,0,0,2023-05-24,2023-06-24,41.736607194,-87.58579083333333
Public Rack - Strohacker Park,7,1,0,2023-04-14,2024-01-03,41.79,-87.732575059
Public Rack - Talman Ave & 51st St,4,0,0,2023-06-19,2023-08-25,41.800975084,-87.691063881
Public Rack - Talman Ave & Pershing Rd,33,0,0,2023-02-21,2023-12-04,41.82,-87.691153288
Public Rack - The Montessori School of Englewood,6,1,0,2023-02-23,2024-01-31,41.76767133333333,-87.67
Public Rack - Throop St & 109th Pl,19,0,0,2023-02-12,2023-11-03,41.69,-87.654172301
Public Rack - Throop St & 48t ST,1,0,0,2023-06-01,2023-06-01,41.806977153,-87.657752872
Public Rack - Throop St & 58th St,85,18,0,2023-03-17,2024-01-31,41.788544,-87.66
Public Rack - Torrence Ave  & 106th St,2,0,0,2023-08-20,2023-08-26,41.702828526,-87.560039043
Public Rack - Torrence Ave & 103rd St,1,0,0,2023-09-16,2023-09-16,41.708402,-87.559827
Public Rack - Touhy Ave & Oconto Ave,14,0,0,2023-05-22,2023-12-23,42.011716366,-87.807670236
Public Rack - Tripp Ave & North Ave,43,2,0,2023-02-10,2024-01-13,41.9096775,-87.73310733333334
Public Rack - Troy & 111th St,3,0,0,2023-03-30,2023-09-18,41.69,-87.700356364
Public Rack - Troy & 71st,12,0,0,2023-05-18,2023-11-16,41.76,-87.70209216666666
Public Rack - Tuley (Murray) Park,6,1,0,2023-07-03,2024-01-02,41.730008006,-87.611712813
Public Rack - Union Ave & 111th St,1,0,0,2023-05-12,2023-05-12,41.69,-87.64
Public Rack - Vincennes Ave & 77th St,2,0,0,2023-06-17,2023-06-27,41.756997108,-87.565108657
Public Rack - Vincennes Ave & 87th St,1,0,0,2023-09-09,2023-09-09,41.735671401,-87.645331621
Public Rack - Vincennes Ave & 95th Pl,5,0,0,2023-07-26,2023-10-19,41.720561028,-87.651027322
Public Rack - Vincennes Ave & 95th St,8,0,0,2023-06-27,2023-11-15,41.72113766666666,-87.650903106
Public Rack - Vincennes Ave & 99th St,4,0,0,2023-03-09,2023-12-15,41.71,-87.653784037
Public Rack - W. Talcott & N. Oriole,9,0,0,2023-05-07,2023-09-25,41.99,-87.82
Public Rack - Wabash Ave & 87th St,5,0,0,2023-05-17,2023-09-09,41.736168623,-87.623176217
Public Rack - Walden Pkwy & 103rd St,149,6,0,2023-02-01,2024-01-30,41.70594166666667,-87.67
Public Rack - Walden Pkwy & 99th St,3,0,0,2023-05-27,2023-07-11,41.713917255,-87.66793083333333
Public Rack - Washington Park Ct & 51st St,125,3,0,2023-02-15,2024-01-30,41.8,-87.62
Public Rack - Washtenaw Ave & 63rd St,2,0,0,2023-07-20,2023-10-03,41.7790815,-87.691123724
Public Rack - Washtenaw Ave & Devon Ave,280,8,0,2023-02-01,2024-01-21,41.997508833333335,-87.7
Public Rack - Washtenaw Ave & Superior St,443,4,0,2023-02-06,2024-01-30,41.89,-87.7
Public Rack - Wentworth Ave & 103rd St,3,1,0,2023-06-15,2024-01-04,41.707164049,-87.628233671
Public Rack - Wentworth Ave & 79th St,7,0,0,2023-03-05,2023-08-18,41.75,-87.630353928
Public Rack - Wentworth Park,9,0,0,2023-08-04,2023-11-17,41.78877116666666,-87.779788852
Public Rack - West Chatham Park,4,0,0,2023-04-14,2023-12-28,41.745587349,-87.631719351
Public Rack - Western & 74th,6,0,0,2023-05-29,2023-09-12,41.7591495,-87.683342218
Public Rack - Western & 79th,36,0,0,2023-05-10,2023-11-04,41.75,-87.682743788
Public Rack - Western & 83rd,30,2,0,2023-05-07,2024-01-27,41.74,-87.682991624
Public Rack - Western Ave & 100th St,28,0,0,2023-02-03,2023-12-12,41.71,-87.682098269
Public Rack - Western Ave & 104th St - East,16,1,0,2023-02-11,2024-01-04,41.7,-87.6817685
Public Rack - Western Ave & 104th St - West,14,0,0,2023-02-20,2023-12-01,41.7,-87.68172533333333
Public Rack - Western Ave & 105th St,11,0,0,2023-05-30,2023-12-20,41.702290535,-87.681700587
Public Rack - Western Ave & 106th St - East,5,4,0,2023-06-18,2024-01-05,41.700364947,-87.68131316666667
Public Rack - Western Ave & 106th St - West,4,0,0,2023-04-14,2023-10-03,41.7,-87.6818395
Public Rack - Western Ave & 107th Pl,2,0,0,2023-07-10,2023-12-09,41.698183656,-87.681542516
Public Rack - Western Ave & 107th St,5,0,0,2023-04-27,2023-11-19,41.698469333333335,-87.681557655
Public Rack - Western Ave & 110th St,43,0,0,2023-03-06,2023-12-06,41.69,-87.68142733333333
Public Rack - Western Ave & 111th St - NW,7,0,0,2023-04-19,2023-12-02,41.69,-87.681884527
Public Rack - Western Ave & 111th St - SE,6,0,0,2023-02-01,2023-11-06,41.69,-87.681028724
Public Rack - Western Ave & 111th St - SW,10,0,0,2023-04-05,2023-11-08,41.69,-87.68188116666667
Public Rack - Western Ave & 118th St,13,0,0,2023-04-04,2023-12-31,41.678605795,-87.680903435
Public Rack - Western Ave & 47th Pl,29,1,0,2023-02-06,2024-01-28,41.8078575,-87.68501933333333
Public Rack - Western Ave & 79th St,7,0,0,2023-04-15,2023-11-05,41.749829,-87.683092
Public Rack - Western Ave & 92nd Pl,21,5,0,2023-02-11,2024-01-05,41.725217,-87.682077169
Public Rack - Western Ave & 96th St,59,8,0,2023-03-29,2024-01-11,41.71837083333333,-87.681913733
Public Rack - Western Ave & 98th St,4,0,0,2023-03-27,2023-12-18,41.715251333333335,-87.6821685
Public Rack - Western Ave & Devon Ave,191,4,0,2023-02-08,2024-01-24,41.99728632,-87.690181613
Public Rack - Western Ave & Jarvis Ave,24,0,0,2023-05-02,2023-12-21,42.016385913,-87.690373898
Public Rack - Western Blvd & 49th St,216,6,0,2023-02-04,2024-01-31,41.8,-87.68419866666666
Public Rack - Western Blvd & 53rd St,3,0,0,2023-05-26,2023-09-02,41.796750784,-87.683485508
Public Rack - Whipple St & 63rd St,14,0,0,2023-02-10,2023-11-24,41.778780937,-87.70010166666667
Public Rack - Wilbur Wright College North,2,0,0,2023-09-25,2023-10-03,41.959004164,-87.78971633333333
Public Rack - Wilbur Wright College South,111,7,0,2023-07-01,2024-01-31,41.958148003,-87.78760612
Public Rack - William J Onahan Public School,5,0,0,2023-05-07,2023-10-23,41.99,-87.7929805
Public Rack - Winchester Ave & 87th St,11,0,0,2023-05-17,2023-07-13,41.73576653,-87.672134042
Public Rack - Winona St & Elston Ave,25,0,0,2023-05-06,2023-12-01,41.97,-87.750529
Public Rack - Wolcott Ave & 61st St,14,0,0,2023-06-09,2023-11-09,41.782045603,-87.671797156
Public Rack - Wood St & 103rd St,16,0,0,2023-02-08,2023-12-20,41.706562996,-87.67
Public Rack - Wood St & 47th St,19,1,0,2023-02-19,2024-01-01,41.80860889,-87.670407653
Public Rack - Woodlawn Ave & 63rd St N,345,27,0,2023-02-02,2024-01-31,41.78,-87.6
Public Rack - Woodlawn Ave & 63rd St S,17,3,0,2023-04-02,2024-01-04,41.779731035,-87.6
Public Rack - Wrightwood Metra Station,1,0,0,2023-07-03,2023-07-03,41.748886166666665,-87.703701
Public Rack - Yale Ave & 119th St,2,0,0,2023-04-15,2023-04-15,41.68,-87.63
Public Rack - Yates Ave & 100th St,4,0,0,2023-06-14,2023-12-18,41.71343266666667,-87.564504027
Public Rack - Yates Blvd & Exchange Ave,2,0,0,2023-06-20,2023-10-06,41.765268166666665,-87.56626783333333
Public Rack - Zapata Academy,1,0,0,2023-07-07,2023-07-07,41.8417485,-87.73436266666667
Pulaski & Ann Lurie Pl,142,9,0,2023-02-10,2024-01-28,41.816315413,-87.724906325
Pulaski Rd & 21st St,164,5,0,2023-02-10,2024-01-28,41.85,-87.72478133333334
Pulaski Rd & 51st St,678,36,0,2023-02-08,2024-01-30,41.8,-87.724975944
Pulaski Rd & 60th St,124,7,0,2023-02-11,2024-01-26,41.78,-87.72264333333334
Pulaski Rd & 84th St,1,1,0,2024-01-04,2024-01-04,41.7403645,-87.7219565
Pulaski Rd & Congress Pkwy,133,2,0,2023-02-10,2024-01-25,41.87433966666666,-87.726219177
Pulaski Rd & Eddy St,567,10,0,2023-04-19,2024-01-30,41.94614966666666,-87.73121033333334
Pulaski Rd & Eddy St (Temp),76,0,0,2023-02-03,2023-04-17,41.945204854,-87.73120594
Pulaski Rd & Lake St,196,0,0,2023-02-11,2023-12-13,41.828236933333336,-87.726909161
Racine Ave & 13th St,1372,44,0,2023-02-01,2024-01-31,41.864669919,-87.657460332
Racine Ave & 15th St,3129,78,0,2023-02-01,2024-01-31,41.860921025,-87.68962943333334
Racine Ave & 18th St,6183,185,5,2023-02-01,2024-01-31,41.857611656,-87.68051826666667
Racine Ave & 35th St,1960,44,1,2023-02-01,2024-01-31,41.82897083333334,-87.656564832
Racine Ave & 57th St,6,4,0,2023-11-23,2024-01-25,41.78945683333333,-87.654715538
Racine Ave & 61st St,49,1,0,2023-02-21,2024-01-08,41.783138752,-87.65443033333334
Racine Ave & 65th St,32,0,0,2023-03-30,2023-11-15,41.775384,-87.654346347
Racine Ave & Belmont Ave,13469,240,1,2023-02-01,2024-01-31,41.87371633333333,-87.68022536666666
Racine Ave & Congress Pkwy,9152,293,6,2023-02-01,2024-01-31,41.873949289,-87.68679498333333
Racine Ave & Fullerton Ave,16108,359,6,2023-02-01,2024-01-31,41.883601657275165,-87.66383028
Racine Ave & Fullerton Ave (Temp),15,0,0,2023-02-01,2023-03-06,41.925514,-87.658399
Racine Ave & Garfield Blvd,180,5,1,2023-02-09,2024-01-30,41.794126749,-87.655386806
Racine Ave & Randolph St,5019,124,3,2023-02-01,2024-01-31,41.882810354,-87.68021606666667
Racine Ave & Washington Blvd,5312,140,4,2023-02-01,2024-01-31,41.882334232,-87.68074183333333
Racine Ave & Wrightwood Ave,8096,203,3,2023-02-01,2024-01-31,41.90694833333333,-87.65933013
Rainbow Beach,225,0,0,2023-02-24,2023-10-10,41.75782466666666,-87.54946
Ravenswood Ave & Berteau Ave,4176,133,0,2023-02-01,2024-01-31,41.957329512,-87.67393916666667
Ravenswood Ave & Irving Park Rd,5754,168,3,2023-02-01,2024-01-31,41.916861833333336,-87.74485883333334
Ravenswood Ave & Lawrence Ave,17706,663,0,2023-02-01,2024-01-31,41.889862883333336,-87.6800928
Rhodes Ave & 32nd St,8976,296,10,2023-02-01,2024-01-31,41.764829866666666,-87.735646129
Rhodes Ave & 71st St,25,1,0,2023-02-06,2024-01-07,41.765981833333335,-87.61175783333333
Richmond St & 59th St,91,0,0,2023-02-06,2023-12-25,41.78616633333333,-87.7
Richmond St & Diversey Ave,3483,50,3,2023-02-01,2024-01-31,41.93176043,-87.701492906
Richmond St & Lincoln Ave,238,7,0,2023-02-08,2024-01-31,41.988128,-87.703139067
Ridge Blvd & Howard St,839,23,0,2023-02-02,2024-01-31,42.01914933333333,-87.684772253
Ridge Blvd & Touhy Ave,862,13,0,2023-02-01,2024-01-28,41.98121248333333,-87.69046723333334
Ritchie Ct & Banks St,11195,197,0,2023-02-01,2024-01-31,41.883601657275165,-87.667791843
Rockwell St & 57th St,101,4,0,2023-02-06,2024-01-30,41.79,-87.69
Rockwell St & 63rd St,59,3,0,2023-02-11,2024-01-08,41.778707504,-87.69
Rockwell St & Archer Ave,195,0,0,2023-02-05,2023-11-10,41.82,-87.69
Rockwell St & Cermak Rd,628,19,0,2023-02-01,2024-01-31,41.85,-87.690710306
Rockwell St & Eastwood Ave,3446,82,1,2023-02-01,2024-01-31,41.9433502470174,-87.73053848333333
Rockwell St & Fletcher St,2161,38,0,2023-02-01,2024-01-31,41.93833433333333,-87.693145037
Roscoe & Harlem,115,3,0,2023-02-06,2024-01-03,41.94,-87.81
Rush St & Cedar St,15832,365,6,2023-02-01,2024-01-31,41.879114628,-87.64862671494483
Rush St & Hubbard St,10236,348,7,2023-02-01,2024-01-31,41.88135176666667,-87.67352198333333
Rush St & Superior St,14836,541,16,2023-02-01,2024-01-31,41.85649776666666,-87.71590655
S Aberdeen St & W 106th St,41,1,0,2023-03-23,2024-01-02,41.7,-87.65
S Michigan Ave & E 118th St,33,0,0,2023-02-23,2023-12-15,41.67978166666666,-87.620838404
S Wentworth Ave & W 111th St,56,0,0,2023-02-11,2023-12-21,41.69,-87.63
Sacramento Ave & 25th St,146,2,0,2023-03-16,2024-01-13,41.846230149,-87.70031833333333
Sacramento Ave & Pershing Rd,100,4,0,2023-02-11,2024-01-28,41.82,-87.7
Sacramento Blvd & Addison St,881,26,0,2023-02-01,2024-01-31,41.945763707,-87.703087449
Sacramento Blvd & Franklin Blvd,412,15,1,2023-02-04,2024-01-31,41.89046879243862,-87.702821493
Sacramento Blvd & Fulton Ave,210,6,0,2023-02-03,2024-01-30,41.886388833333335,-87.701784253
Sacramento Blvd & Polk St,57,1,0,2023-02-02,2024-01-27,41.87,-87.70039666666666
Sangamon St & Lake St,12256,324,5,2023-02-01,2024-01-31,41.883601657275165,-87.680501819
Sangamon St & Washington Blvd,7942,178,3,2023-02-01,2024-01-31,41.882367492,-87.668944
Sawyer Ave & Irving Park Rd,1389,37,0,2023-02-03,2024-01-31,41.953506947,-87.709532142
Sayre & Diversey,375,12,0,2023-02-01,2024-01-28,41.93,-87.801214576
Scottsdale Park,8,6,0,2023-12-03,2024-01-13,41.741930366,-87.736179
Sedgwick St & Huron St,15038,540,14,2023-02-01,2024-01-31,41.854018927,-87.717513323
Sedgwick St & North Ave,14783,328,9,2023-02-01,2024-01-31,41.8674606,-87.680501819
Sedgwick St & Schiller St,5207,151,4,2023-02-01,2024-01-31,41.90657258,-87.640671134
Sedgwick St & Webster Ave,14961,315,1,2023-02-01,2024-01-31,41.890109897,-87.680501819
Seeley Ave & Garfield Blvd,78,9,0,2023-02-14,2024-01-30,41.794050694,-87.67555316666666
Seeley Ave & Roscoe St,6528,127,3,2023-02-01,2024-01-31,41.916861833333336,-87.74485883333334
Shabbona Park,117,1,0,2023-02-20,2024-01-05,41.94,-87.8
Shedd Aquarium,22556,246,7,2023-02-01,2024-01-31,41.858131666666665,-87.65010321666666
Sheffield Ave & Fullerton Ave,24942,809,10,2023-02-01,2024-01-31,41.883601657275165,-87.69046723333334
Sheffield Ave & Kingsbury St,13960,368,7,2023-02-01,2024-01-31,41.81359016666666,-87.69312383333333
Sheffield Ave & Waveland Ave,20132,395,11,2023-02-01,2024-01-31,41.760866283333336,-87.655380726
Sheffield Ave & Webster Ave,18283,359,5,2023-02-01,2024-01-31,41.875538166666665,-87.674988
Sheffield Ave & Wellington Ave,16835,322,4,2023-02-01,2024-01-31,41.883174419,-87.69066023333333
Sheffield Ave & Willow St,9841,215,8,2023-02-01,2024-01-31,41.883601657275165,-87.69635233333334
Sheffield Ave & Wrightwood Ave,17417,343,4,2023-02-01,2024-01-31,41.879996657,-87.836727262
Sheridan Rd & Argyle St,7589,151,1,2023-02-02,2024-01-31,41.916861833333336,-87.74485883333334
Sheridan Rd & Buena Ave,11159,236,4,2023-02-01,2024-01-31,41.890072333333336,-87.68067216666667
Sheridan Rd & Columbia Ave,3233,85,2,2023-02-01,2024-01-31,42.004333138,-87.66186383333333
Sheridan Rd & Greenleaf Ave,2002,46,1,2023-02-01,2024-01-31,42.010166287,-87.662523508
Sheridan Rd & Irving Park Rd,19004,501,8,2023-02-01,2024-01-31,41.8538097,-87.71515141666667
Sheridan Rd & Lawrence Ave,6597,174,1,2023-02-01,2024-01-31,41.942109216666665,-87.67820968333334
Sheridan Rd & Loyola Ave,4779,114,3,2023-02-01,2024-01-31,42.000660419,-87.661519885
Sheridan Rd & Montrose Ave,15193,360,3,2023-02-01,2024-01-31,41.877773046,-87.68063283333333
Sheridan Rd & Noyes St (NU),6830,350,12,2023-02-01,2024-01-31,42.057661295,-87.6778301
Shields Ave & 28th Pl,3043,78,1,2023-02-01,2024-01-31,41.842327237,-87.63812898333333
Shields Ave & 31st St,5442,156,2,2023-02-01,2024-01-31,41.83820641,-87.704150558
Shields Ave & 43rd St,213,4,0,2023-02-02,2024-01-31,41.816041231,-87.634990931
Shore Dr & 55th St,10776,265,10,2023-02-01,2024-01-31,41.784333583333336,-87.7510985
Smith Park,2069,53,0,2023-02-02,2024-01-31,41.86700236666667,-87.689525843
South Chicago Ave & 83rd St,39,1,1,2023-03-01,2024-01-15,41.743919015,-87.57525
South Chicago Ave & Elliot Ave,9,0,0,2023-04-27,2023-09-06,41.7473035,-87.580050468
South Shore Dr & 67th St,1283,32,2,2023-02-01,2024-01-29,41.773429513,-87.567516923
South Shore Dr & 71st St,1187,18,0,2023-02-03,2024-01-31,41.76612716666666,-87.56603966666667
South Shore Dr & 74th St,385,11,2,2023-02-01,2024-01-29,41.762120128,-87.55932083333333
Southport Ave & Belmont Ave,12222,293,2,2023-02-01,2024-01-31,41.9180845,-87.6767115
Southport Ave & Clark St,4004,126,3,2023-02-01,2024-01-31,41.93418716666667,-87.664411426
Southport Ave & Clybourn Ave,8679,255,6,2023-02-01,2024-01-31,41.8723992,-87.69046723333334
Southport Ave & Irving Park Rd,8581,233,4,2023-02-01,2024-01-31,41.88164746666666,-87.74485883333334
Southport Ave & Roscoe St,19288,343,9,2023-02-01,2024-01-31,41.89963383333333,-87.67105639
Southport Ave & Waveland Ave,19767,407,7,2023-02-01,2024-01-31,41.8538097,-87.74821933333334
